,year,name,movie,genre,age
15,1953,Audrey Hepburn ‡,Roman Holiday,F,
16,1953,Leslie Caron,Lili,F,
17,1953,Ava Gardner,Mogambo,F,
18,1953,Deborah Kerr,From Here to Eternity,F,
19,1953,Maggie McNamara,The Moon Is Blue,F,
20,1954,Grace Kelly ‡,The Country Girl,F,
21,1954,Dorothy Dandridge,Carmen Jones,F,
22,1954,Judy Garland,A Star Is Born,F,
23,1954,Audrey Hepburn,Sabrina,F,
24,1954,Jane Wyman,Magnificent Obsession,F,
25,1955,Anna Magnani ‡,The Rose Tattoo,F,
26,1955,Susan Hayward,I'll Cry Tomorrow,F,
27,1955,Katharine Hepburn,Summertime,F,
28,1955,Jennifer Jones,Love is a Many-Splendored Thing,F,
29,1955,Eleanor Parker,Interrupted Melody,F,
30,1956,Ingrid Bergman ‡,Anastasia,F,
31,1956,Carroll Baker,Baby Doll,F,
32,1956,Katharine Hepburn,The Rainmaker,F,
33,1956,Nancy Kelly,The Bad Seed,F,
34,1956,Deborah Kerr,The King and I,F,
35,1957,Joanne Woodward ‡,The Three Faces of Eve,F,
36,1957,Deborah Kerr,"Heaven Knows, Mr. Allison",F,
37,1957,Anna Magnani,Wild Is the Wind,F,
38,1957,Elizabeth Taylor,Raintree County,F,
39,1957,Lana Turner,Peyton Place,F,
40,1958,Susan Hayward ‡,I Want to Live!,F,
41,1958,Deborah Kerr,Separate Tables,F,
42,1958,Shirley MacLaine,Some Came Running,F,
43,1958,Rosalind Russell,Auntie Mame,F,
44,1958,Elizabeth Taylor,Cat on a Hot Tin Roof,F,
45,1959,Simone Signoret ‡,Room at the Top,F,
46,1959,Doris Day,Pillow Talk,F,
47,1959,Audrey Hepburn,The Nun's Story,F,
48,1959,Katharine Hepburn,"Suddenly, Last Summer",F,
49,1959,Elizabeth Taylor,"Suddenly, Last Summer",F,
0,1960,Elizabeth Taylor ‡,BUtterfield 8,F,
1,1960,Greer Garson,Sunrise at Campobello,F,
2,1960,Deborah Kerr,The Sundowners,F,
3,1960,Shirley MacLaine,The Apartment,F,
4,1960,Melina Mercouri,Never on Sunday,F,
5,1961,Sophia Loren ‡,Two Women[40],F,
6,1961,Audrey Hepburn,Breakfast at Tiffany's,F,
7,1961,Piper Laurie,The Hustler,F,
8,1961,Geraldine Page,Summer and Smoke,F,
9,1961,Natalie Wood,Splendor in the Grass,F,
10,1962,Anne Bancroft ‡,The Miracle Worker,F,
11,1962,Bette Davis,What Ever Happened to Baby Jane?,F,
12,1962,Katharine Hepburn,Long Day's Journey into Night,F,
13,1962,Geraldine Page,Sweet Bird of Youth,F,
14,1962,Lee Remick,Days of Wine and Roses,F,
15,1963,Patricia Neal ‡,Hud,F,
16,1963,Leslie Caron,The L-Shaped Room,F,
17,1963,Shirley MacLaine,Irma la Douce,F,
18,1963,Rachel Roberts,This Sporting Life,F,
